arm,condition,metric,mean,sample_sd
S7,thermal_noise_002,smoke_precision_A001_A047,0.7897323757247624,0.01780553362125655
S7,thermal_noise_002,smoke_recall_A001_A047,0.8099582062385509,0.008528300334771729
S7,thermal_noise_005,background_iou_A001_A047,0.8019704555448793,0.021306341391475365
S7,thermal_noise_005,smoke_iou_A001_A047,0.4780543978646216,0.053167620596139345
S7,thermal_noise_005,fire_heat_iou_A001_A047_record_only,0.805449552774702,0.009158029365633546
S7,thermal_noise_005,three_class_miou_A001_A047_record_only,0.6951581353947343,0.027346460399789777
S7,thermal_noise_005,selection_score_S_record_only,0.650552754238295,0.028440620624913548
S7,thermal_noise_005,fire_heat_iou_full134_record_only,0.8230511106119682,0.0039249267547307185
S7,thermal_noise_005,no_fire_joint_false_positive_ratio,3.224981398809524e-05,5.368399525256824e-05
S7,thermal_noise_005,smoke_precision_A001_A047,0.788798372644655,0.045968362554307536
S7,thermal_noise_005,smoke_recall_A001_A047,0.5469629264209365,0.04927115145946259
S7,thermal_noise_010,background_iou_A001_A047,0.7313209068942672,0.012013968142162747
S7,thermal_noise_010,smoke_iou_A001_A047,0.11757086919002055,0.05968897766672424
S7,thermal_noise_010,fire_heat_iou_A001_A047_record_only,0.6286884228839086,0.09790963607099776
S7,thermal_noise_010,three_class_miou_A001_A047_record_only,0.4925267329893988,0.04343728030775946
S7,thermal_noise_010,selection_score_S_record_only,0.39035537560735745,0.05745053809462195
S7,thermal_noise_010,fire_heat_iou_full134_record_only,0.6631398820246943,0.08675162530879421
S7,thermal_noise_010,no_fire_joint_false_positive_ratio,1.9821893601190477e-06,1.852136468064198e-06
S7,thermal_noise_010,smoke_precision_A001_A047,0.7643020569673526,0.11350813201680603
S7,thermal_noise_010,smoke_recall_A001_A047,0.12211231262711693,0.0629377694655712
S7,thermal_zero,background_iou_A001_A047,0.8433423129438656,0.003604578460434736
S7,thermal_zero,smoke_iou_A001_A047,0.701948412183422,0.010358312586462045
S7,thermal_zero,fire_heat_iou_A001_A047_record_only,0.0002690104478050541,0.00045695060891340957
S7,thermal_zero,three_class_miou_A001_A047_record_only,0.5151865785250309,0.004278643418976955
S7,thermal_zero,selection_score_S_record_only,0.3511709860721872,0.004844543180827399
S7,thermal_zero,fire_heat_iou_full134_record_only,0.00039355996095252266,0.0006746799282746747
S7,thermal_zero,no_fire_joint_false_positive_ratio,0.016099062965029762,0.0184302120229666
S7,thermal_zero,smoke_precision_A001_A047,0.7525103555164401,0.014993023331118564
S7,thermal_zero,smoke_recall_A001_A047,0.9134052081129442,0.017078143863090523
S7,rgb_zero,background_iou_A001_A047,0.7142521314129865,0.008609333791670162
S7,rgb_zero,smoke_iou_A001_A047,0.04004047021127343,0.013050537252548167
S7,rgb_zero,fire_heat_iou_A001_A047_record_only,0.743398344612156,0.033625826418330985
S7,rgb_zero,three_class_miou_A001_A047_record_only,0.4992303154121387,0.006573157042845336
S7,rgb_zero,selection_score_S_record_only,0.3834947845945876,0.009485846630361594
S7,rgb_zero,fire_heat_iou_full134_record_only,0.7269490989779016,0.027704441747299535
S7,rgb_zero,no_fire_joint_false_positive_ratio,0.0013792201450892856,0.0011724155939856116
S7,rgb_zero,smoke_precision_A001_A047,0.5149891588578904,0.1619879040412532
S7,rgb_zero,smoke_recall_A001_A047,0.04250012315214198,0.013976283500170253
