condition,metric,seed,Y_B0,Y_R1,Y_R2,Y_R3,R1_minus_B0,R2_minus_B0,interaction,Fire_used_for_decision
thermal_noise_005,fire_heat_iou_A001_A047_record_only,200,0.7798642444279641,0.7764763936526456,0.7642666710357847,0.7417655256236377,-0.003387850775318446,-0.015597573392179376,-0.019113294636828537,False
thermal_noise_005,fire_heat_iou_A001_A047_record_only,201,0.8515764995157707,0.7712989925542768,0.7879752254314507,0.7531477916389685,-0.08027750696149394,-0.06360127408432004,0.04545007316901173,False
thermal_noise_005,fire_heat_iou_A001_A047_record_only,202,0.7971903243994618,0.6919281022688706,0.7098646632281344,0.7220528438661178,-0.10526222213059122,-0.08732566117132745,0.11745040276857466,False
thermal_noise_005,fire_heat_iou_full134_record_only,200,0.8088622527619195,0.7805941309786328,0.7659378355141327,0.7472478890398875,-0.028268121783286637,-0.04292441724778673,0.00957817530904137,False
thermal_noise_005,fire_heat_iou_full134_record_only,201,0.8653719489078002,0.771383355728363,0.791877306674835,0.7577460408115637,-0.0939885931794372,-0.0734946422329652,0.05985732731616589,False
thermal_noise_005,fire_heat_iou_full134_record_only,202,0.8216429475336838,0.6825059352966006,0.7075366994571706,0.7064839022619119,-0.1391370122370832,-0.11410624807651326,0.13808421504182455,False
thermal_noise_010,smoke_iou_A001_A047,200,0.25041131798365884,0.5651454425098534,0.07522225059825793,0.5443849520181284,0.3147341245261946,-0.1751890673854009,0.1544285768936759,False
thermal_noise_010,smoke_iou_A001_A047,201,0.2025675510767709,0.5469897630436696,0.38766518925438886,0.5530001799560462,0.3444222119668987,0.18509763817761796,-0.17908722126524138,False
thermal_noise_010,smoke_iou_A001_A047,202,0.3063356162007579,0.4782832545530266,0.20745523604357383,0.5413323803574559,0.17194763835226873,-0.09888038015718406,0.16192950596161335,False
thermal_noise_010,selection_score_S_record_only,200,0.376042627643549,0.6571366032320032,0.377189377354651,0.6594719270447003,0.28109397558845417,0.001146749711102013,0.0011885741015950635,False
thermal_noise_010,selection_score_S_record_only,201,0.4831146977807001,0.6661679824243796,0.5667570161982228,0.6564771558116461,0.18305328464367948,0.08364231841752273,-0.09333314503025619,False
thermal_noise_010,selection_score_S_record_only,202,0.49303245986251926,0.5912666891870069,0.4750123148326601,0.635279781878838,0.09823422932448761,-0.018020145029859158,0.06203323772169034,False
thermal_noise_010,three_class_miou_A001_A047_record_only,200,0.4923652872771751,0.7010476739358863,0.4776814344831669,0.703522874205496,0.2086823866587112,-0.01468385279400819,0.01715905306361787,False
thermal_noise_010,three_class_miou_A001_A047_record_only,201,0.5686059024955327,0.7093845414180859,0.634648749990871,0.7009309457866119,0.14077863892255327,0.06604284749533829,-0.07449644312681236,False
thermal_noise_010,three_class_miou_A001_A047_record_only,202,0.5651938505968527,0.657642866372557,0.5577610741272399,0.6933141135217511,0.0924490157757043,-0.007432776469612823,0.04310402361880694,False
thermal_noise_010,fire_heat_iou_A001_A047_record_only,200,0.46751675716888647,0.7351868295843674,0.6460982630343347,0.7621856158194634,0.26767007241548096,0.17858150586544824,-0.15158271963035225,False
thermal_noise_010,fire_heat_iou_A001_A047_record_only,201,0.7510892573778932,0.7771152760698421,0.7300170482420354,0.7394964456718209,0.02602601869194887,-0.021072209135857833,-0.01654662126216333,False
thermal_noise_010,fire_heat_iou_A001_A047_record_only,202,0.6415652627508117,0.7051606047056158,0.7310754812852718,0.7336935500284614,0.0635953419548041,0.08951021853446006,-0.0609772732116145,False
thermal_noise_010,fire_heat_iou_full134_record_only,200,0.5016739373034392,0.7491277639541531,0.6791565041110441,0.774558902071272,0.24745382665071392,0.17748256680760488,-0.15205142869048605,False
thermal_noise_010,fire_heat_iou_full134_record_only,201,0.7636618444846293,0.7853462018050894,0.7458488431420568,0.7599541316672461,0.021684357320460146,-0.017813001342572465,-0.007579068795270816,False
thermal_noise_010,fire_heat_iou_full134_record_only,202,0.6797293035242806,0.7042501238209873,0.7425693936217463,0.7292271834002203,0.024520820296706658,0.06284009009746572,-0.0378630305182327,False
thermal_zero,smoke_iou_A001_A047,200,0.7158234386332258,0.6113731339517544,0.6795338115106391,0.6195682025273919,-0.10445030468147143,-0.036289627122586765,0.04448469569822422,False
thermal_zero,smoke_iou_A001_A047,201,0.7119103568494483,0.6633495952647344,0.6829643020944647,0.6807986544812543,-0.048560761584713896,-0.028946054754983574,0.04639511397150353,False
thermal_zero,smoke_iou_A001_A047,202,0.6887426706909857,0.6455353837163174,0.6501550639223135,0.6872540814384054,-0.04320728697466836,-0.038587606768672233,0.08030630449076026,False
thermal_zero,selection_score_S_record_only,200,0.3579135118682025,0.3117331684776553,0.3398614344975429,0.3144872457261646,-0.04618034339054722,-0.018052077370659614,0.020806154619168904,False
thermal_zero,selection_score_S_record_only,201,0.3559560939056904,0.3321664412146688,0.34152727514466613,0.34055986096160795,-0.023789652691021568,-0.014428818761024254,0.02282223850796339,False
